testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,sorting,100000,19,9,638896093634437083,638896093634535644,98561,9.8561
0,heap,100000,19,9,638896093634537006,638896093634636431,99425,9.9425
0,sorting,100000,19,10,638896093634637654,638896093634736522,98868,9.8868
0,heap,100000,19,10,638896093634737645,638896093634838535,100890,10.089
0,sorting,100000,19,11,638896093634841674,638896093634939350,97676,9.7676
0,heap,100000,19,11,638896093634941475,638896093635035208,93733,9.3733
0,sorting,100000,19,12,638896093635036852,638896093635131152,94300,9.43
0,heap,100000,19,12,638896093635132192,638896093635226164,93972,9.3972
0,sorting,100000,19,13,638896093635227101,638896093635326792,99691,9.9691
0,heap,100000,19,13,638896093635328846,638896093635422571,93725,9.3725
0,sorting,100000,19,14,638896093635423880,638896093635517657,93777,9.3777
0,heap,100000,19,14,638896093635518658,638896093635612961,94303,9.4303
0,sorting,100000,19,15,638896093635614049,638896093635707927,93878,9.3878
0,heap,100000,19,15,638896093635708813,638896093635802588,93775,9.3775
0,sorting,100000,19,16,638896093635803590,638896093635907143,103553,10.3553
0,heap,100000,19,16,638896093635909215,638896093636004035,94820,9.482
0,sorting,100000,19,17,638896093636005451,638896093636101473,96022,9.6022
0,heap,100000,19,17,638896093636102569,638896093636196182,93613,9.3613
0,sorting,100000,19,18,638896093636197185,638896093636292794,95609,9.5609
0,heap,100000,19,18,638896093636294679,638896093636392704,98025,9.8025
0,sorting,100000,19,19,638896093636394507,638896093636488678,94171,9.4171
0,heap,100000,19,19,638896093636490132,638896093636585280,95148,9.5148
0,sorting,100000,19,20,638896093636586435,638896093636679790,93355,9.3355
0,heap,100000,19,20,638896093636680874,638896093636777056,96182,9.6182
0,sorting,100000,41,1,638896093636778883,638896093636877913,99030,9.903
0,heap,100000,41,1,638896093636880372,638896093636974669,94297,9.4297
0,sorting,100000,41,2,638896093636976391,638896093637070454,94063,9.4063
0,heap,100000,41,2,638896093637071804,638896093637167154,95350,9.535
0,sorting,100000,41,3,638896093637168241,638896093637264408,96167,9.6167
0,heap,100000,41,3,638896093637266683,638896093637361074,94391,9.4391
0,sorting,100000,41,4,638896093637362620,638896093637456553,93933,9.3933
0,heap,100000,41,4,638896093637457731,638896093637551434,93703,9.3703
0,sorting,100000,41,5,638896093637552573,638896093637646945,94372,9.4372
0,heap,100000,41,5,638896093637648399,638896093637748905,100506,10.0506
0,sorting,100000,41,6,638896093637751279,638896093637849162,97883,9.7883
0,heap,100000,41,6,638896093637850963,638896093637945674,94711,9.4711
0,sorting,100000,41,7,638896093637947010,638896093638036929,89919,8.9919
0,heap,100000,41,7,638896093638038137,638896093638128628,90491,9.0491
0,sorting,100000,41,8,638896093638129615,638896093638228172,98557,9.8557
0,heap,100000,41,8,638896093638230141,638896093638324947,94806,9.4806
0,sorting,100000,41,9,638896093638326726,638896093638421172,94446,9.4446
0,heap,100000,41,9,638896093638422443,638896093638516729,94286,9.4286
